Nom de la société;Symbole;1 semaine;2 mois;6 mois;1 an;3 ans;5 ans
MedMira Inc.;MIR;4.42%;-3.97%;4.72%;28.97%;4.52%;6.93%
Moon River Moly Ltd.;MOO;-1.16%;-2.27%;-5.35%;-14.09%;-22.54%;6.54%
Saville Resources Inc.;SRE;-0.73%;5.58%;2.68%;1.88%;8.48%;6.49%
Centaurus Energy Inc.;CTA;-0.64%;-2.86%;4.50%;3.97%;4.77%;4.77%
Black Swan Graphene Inc.;SWAN;1.62%;10.01%;8.81%;11.11%;-14.62%;4.67%
ExGen Resources Inc.;EXG;0.72%;8.61%;9.74%;5.49%;-16.34%;4.58%
Pearl River Holdings Limited;PRH;0.73%;3.20%;2.75%;3.86%;3.90%;3.90%
Lithium Ionic Corp.;LTH;2.11%;30.35%;24.27%;-4.22%;3.55%;3.55%
Sparta Capital Ltd.;SAY;0.04%;-1.03%;-0.56%;0.12%;1.09%;1.09%
Earthworks Industries Inc.;EWK;-2.08%;-0.70%;0.94%;2.57%;-18.26%;0.82%
Freeport Resources Inc.;FRI;0.82%;6.16%;-1.38%;4.35%;-10.24%;0.71%
Quorum Information Technologies Inc.;QIS;-0.51%;-0.69%;-1.61%;0.40%;0.40%;0.40%
South Pacific Metals Corp.;SPMC;0.35%;0.35%;0.35%;0.35%;0.35%;0.35%
Clip Money Inc.;CLIP;0.11%;-0.05%;-0.02%;0.23%;0.23%;0.23%
Tombill Mines Limited;TBLL;0.11%;0.41%;0.55%;0.44%;0.10%;0.02%
Colibri Resource Corporation;CBI;0.00%;-28.57%;25.00%;-28.57%;-66.67%;0.00%
Green Battery Minerals Inc.;GEM;1.79%;7.05%;10.79%;8.17%;-18.78%;0.00%
Composite Alliance Group Inc.;CAG;-0.17%;-7.81%;1.09%;-16.27%;-20.01%;-0.17%
TRU Precious Metals Corp.;TRU;-5.84%;5.50%;7.88%;-4.68%;-35.17%;-0.28%
New Found Gold Corp.;NFG;-1.68%;1.51%;8.96%;6.63%;3.62%;-0.40%
Valleyview Resources Ltd.;VVR;-0.69%;0.70%;4.89%;14.40%;-2.05%;-0.69%
Jade Leader Corp.;JADE;1.75%;-1.32%;-1.32%;-1.32%;-1.32%;-1.32%
Eminent Gold Corp.;EMNT;0.10%;0.05%;0.36%;0.84%;-2.06%;-1.45%
BuildDirect.Com Technologies Inc.;BILD;-1.60%;1.14%;-2.70%;-1.50%;-1.50%;-1.50%
Bonterra Resources Inc.;BTR;-0.07%;3.76%;5.75%;-1.27%;-1.58%;-1.58%
ReGen III Corp.;GIII;5.50%;-1.44%;-17.77%;36.52%;-14.22%;-1.61%
Torr Metals Inc.;TMET;-1.95%;-1.95%;-1.95%;-1.95%;-1.95%;-1.95%
Asian Television Network International Ltd.;SAT;-0.50%;0.25%;1.05%;4.02%;-2.39%;-2.39%
Highgold Mining Inc.;HIGH;0.06%;0.43%;-0.75%;-2.74%;-2.45%;-2.45%
Northern Superior Resources Inc.;SUP;-4.02%;-10.93%;15.17%;-5.11%;-62.39%;-2.62%
Aurum Lake Mining Corporation.;ARL;-6.71%;-12.09%;-26.18%;-38.55%;21.90%;-3.18%
Atlas Engineered Products Ltd.;AEP;-0.47%;3.12%;9.00%;3.56%;5.24%;-4.37%
Esstra Industries Inc.;ESS;4.84%;18.63%;18.37%;21.52%;-7.65%;-5.13%
Arcwest Exploration Inc.;AWX;-5.53%;2.78%;3.26%;-1.77%;-48.25%;-5.53%
BTU Metals Corp.;BTU;-2.22%;-5.94%;-6.10%;5.98%;213.67%;-5.54%
Emerita Resources Corp.;EMO;0.31%;4.67%;27.54%;45.49%;79.52%;-6.58%
Providence Gold Mines Inc.;PHD;-1.51%;1.77%;6.20%;14.94%;-16.85%;-6.86%
New Tymbal Resources Ltd.;NTB;-0.80%;5.81%;4.37%;21.94%;-7.98%;-7.01%
Thunder Mountain Gold, Inc.;THM;0.00%;-18.46%;0.00%;26.19%;-48.04%;-7.02%
MustGrow Biologics Corp.;MGRO;-0.50%;-0.58%;-7.59%;-7.59%;-7.59%;-7.59%
Imperial Equities Inc.;IEI;0.49%;1.93%;-0.87%;-0.03%;-11.11%;-7.66%
Electric Metals (USA) Limited;EML;-10.78%;-22.47%;14.88%;31.07%;-24.27%;-7.74%
Adamera Minerals Corp.;ADZ;0.00%;0.00%;0.00%;0.00%;0.00%;-7.89%
Dixie Gold Inc.;DG;1.33%;-11.38%;-1.80%;-23.27%;-40.84%;-8.78%
Sabio Holdings Inc.;SBIO;-5.48%;2.31%;7.17%;-1.08%;-34.02%;-9.27%
Metalla Royalty & Streaming Ltd.;MTA;-4.62%;-3.67%;-5.56%;-31.68%;-69.80%;-9.57%
Bitterroot Resources Ltd.;BTT;-0.39%;0.73%;-0.39%;-0.63%;-21.04%;-10.53%
Superior Mining International Corporation;SUI;-0.34%;-1.89%;-11.75%;-13.11%;-34.13%;-10.63%
Aurora Spine Corporation;ASG;-0.76%;2.76%;-0.38%;-2.98%;-40.73%;-10.79%
Oculus VisionTech Inc.;OVT;0.32%;3.51%;1.41%;2.45%;-11.94%;-11.25%
MTB Metals Corp.;MTB;2.21%;0.78%;9.60%;20.15%;-0.56%;-11.29%
Regulus Resources Inc.;REG;0.91%;3.29%;-6.68%;0.82%;-6.55%;-12.03%
Nicola Mining Inc.;NIM;0.56%;1.24%;2.27%;1.01%;-16.88%;-12.95%
Auric Resources Corp.;RES;-6.14%;-23.14%;-16.53%;-11.83%;7.01%;-13.09%
Tres-Or Resources Ltd.;TRS;-1.27%;-0.54%;-0.46%;-2.57%;-16.29%;-13.42%
Troubadour Resources Inc.;TR;-0.97%;-6.43%;-10.61%;-21.24%;-5.46%;-13.59%
Namibia Critical Metals Inc.;NMI;1.90%;5.23%;6.28%;4.55%;-17.45%;-14.07%
Pacific Ridge Exploration Ltd.;PEX;-1.29%;2.22%;8.08%;6.05%;-21.05%;-14.15%
Decade Resources Ltd.;DEC;-7.68%;0.14%;-9.08%;-15.37%;-15.37%;-15.37%
Gabo Mining Ltd.;GAB;-4.21%;-1.13%;5.02%;-6.27%;-23.98%;-15.65%
Fidelity Minerals Corp.;FMN;0.80%;3.92%;4.68%;8.15%;-25.52%;-16.59%
